id,name_ko,name_en,brand,category,subcategory,budget_level,expected_skin_types,expected_concerns,available_at
prod-innisfree-green-tea-seed-hyaluronic-cream,이니스프리 그린티 씨드 히알루로닉 크림,Innisfree Green Tea Seed Hyaluronic Cream,Innisfree,skincare,moisturizer,moderate,dry|combination|normal,dryness|dullness,olive_young|innisfree_store
prod-laneige-water-sleeping-mask-ex,라네즈 워터 슬리핑 마스크 EX,Laneige Water Sleeping Mask EX,Laneige,skincare,moisturizer,moderate,dry|combination|normal|sensitive,dryness|dullness,olive_young|chicor|laneige_store
prod-cosrx-advanced-snail-92-all-in-one-cream,코스알엑스 어드밴스드 스네일 92 올인원 크림,COSRX Advanced Snail 92 All in One Cream,COSRX,skincare,moisturizer,moderate,dry|combination|normal|sensitive,dryness|wrinkles|dullness,olive_young|chicor
prod-torriden-dive-in-low-molecular-hyaluronic-acid-moisture-cream,토리든 다이브인 저분자 히알루론산 수분크림,Torriden DIVE-IN Low Molecular Hyaluronic Acid Moisture Cream,Torriden,skincare,moisturizer,moderate,dry|sensitive|normal,dryness|redness,olive_young|chicor
prod-drg-red-blemish-clear-soothing-cream,닥터지 레드 블레미쉬 클리어 수딩 크림,Dr.G Red Blemish Clear Soothing Cream,Dr.G,skincare,moisturizer,moderate,sensitive|combination|oily,redness|acne|dryness,olive_young|chicor
prod-illiyoon-ceramide-ato-concentrate-cream,일리윤 세라마이드 아토 집중 수분 크림,Illiyoon Ceramide Ato Concentrate Cream,Illiyoon,skincare,moisturizer,budget,dry|sensitive|normal,dryness|eczema|redness,olive_young|chicor
prod-sulwhasoo-concentrated-ginseng-renewing-cream,설화수 자음생크림,Sulwhasoo Concentrated Ginseng Renewing Cream,Sulwhasoo,skincare,moisturizer,luxury,dry|normal|combination,wrinkles|dullness|dark_spots,department_store|chicor
prod-belif-the-true-cream-aqua-bomb,벨리프 더 트루 크림 아쿠아 밤,belif The True Cream Aqua Bomb,belif,skincare,moisturizer,moderate,oily|combination|normal,dryness|pores,olive_young|chicor|brand_store
prod-round-lab-birch-juice-moisturizing-cream,라운드랩 자작나무 수분 크림,Round Lab Birch Juice Moisturizing Cream,Round Lab,skincare,moisturizer,moderate,dry|sensitive|normal,dryness|redness,olive_young|chicor
prod-isoi-bulgarian-rose-intensive-energizing-cream-ex,아이소이 불가리안 로즈 인텐시브 에너자이징 크림 EX,isoi Bulgarian Rose Intensive Energizing Cream EX,isoi,skincare,moisturizer,premium,dry|normal|combination,wrinkles|dullness|dryness,olive_young|chicor
prod-skin1004-madagascar-centella-cream,스킨1004 마다가스카르 센텔라 크림,SKIN1004 Madagascar Centella Cream,SKIN1004,skincare,moisturizer,budget,sensitive|oily|combination,redness|acne,olive_young
prod-goodal-houttuynia-cordata-calming-moisture-cream,구달 맑은 어성초 진정 수분크림,Goodal Houttuynia Cordata Calming Moisture Cream,Goodal,skincare,moisturizer,budget,sensitive|oily|combination,redness|acne|pores,olive_young
prod-aestura-atobarrier-365-cream,에스트라 아토베리어 365 크림,Aestura Atobarrier 365 Cream,Aestura,skincare,moisturizer,moderate,sensitive|dry|normal,eczema|redness|dryness,olive_young|chicor
prod-beauty-of-joseon-dynasty-cream,뷰티오브조선 왕조크림,Beauty of Joseon Dynasty Cream,Beauty of Joseon,skincare,moisturizer,budget,dry|normal|combination,dryness|dullness|wrinkles,olive_young
prod-etude-soonjung-moist-relief-all-in-one-gel,에뛰드 순정 모이스트 풀 콜라겐 크림,ETUDE SoonJung Moist Relief All in One Gel,ETUDE,skincare,moisturizer,budget,sensitive|oily|combination,redness|dryness|eczema,olive_young|etude_store
prod-hanyul-yuja-sleeping-mask,한율 달빛유자 수면팩,Hanyul Yuja Sleeping Mask,Hanyul,skincare,moisturizer,moderate,dry|normal|combination,dullness|dark_spots|dryness,olive_young|chicor
prod-jung-saem-mool-time-energy-cream,정샘물 타임 에너지 크림,Jung Saem Mool Time Energy Cream,Jung Saem Mool,skincare,moisturizer,premium,dry|normal,wrinkles|dryness|dullness,chicor|department_store
prod-bioderma-atoderm-intensive-baume,바이오더마 아토덤 인텐시브 밤,Bioderma Atoderm Intensive Baume,Bioderma,skincare,moisturizer,moderate,dry|sensitive,eczema|dryness|redness,olive_young|chicor
prod-mediheal-madecassoside-cream,메디힐 마데카소사이드 크림,Mediheal Madecassoside Cream,Mediheal,skincare,moisturizer,budget,sensitive|combination|normal,redness|acne,olive_young
prod-primera-alpine-berry-watery-cream,프리메라 알파인 베리 워터리 크림,primera Alpine Berry Watery Cream,primera,skincare,moisturizer,premium,oily|combination|normal,pores|dullness,chicor|brand_store
prod-neogen-real-cica-pad,네오젠 리얼 시카패드,Neogen Real Cica Pad,Neogen,skincare,moisturizer,budget,sensitive|oily|combination,redness|acne,olive_young
prod-by-wishtrend-pro-biome-balance-cream,바이위시트렌드 프로바이옴 밸런스 크림,By Wishtrend Pro-Biome Balance Cream,By Wishtrend,skincare,moisturizer,moderate,sensitive|dry|normal,redness|dryness,olive_young
prod-ohui-age-recovery-cream,오휘 에이지 리커버리 크림,OHUI Age Recovery Cream,O HUI,skincare,moisturizer,luxury,dry|normal,wrinkles|dullness|dark_spots,department_store|chicor
prod-missha-time-revolution-night-repair-ampoule-cream-5x,미샤 타임 레볼루션 나이트 리페어 크림,MISSHA Time Revolution Night Repair Ampoule Cream 5X,MISSHA,skincare,moisturizer,moderate,dry|normal|combination,wrinkles|dullness,olive_young|chicor
prod-dalba-white-truffle-return-oil-cream,달바 화이트 트러플 파밍 크림,d'Alba White Truffle Return Oil Cream,d'Alba,skincare,moisturizer,premium,dry|normal|combination,wrinkles|dryness|dullness,olive_young|chicor
prod-cosrx-advanced-snail-96-mucin-power-essence,코스알엑스 어드밴스드 스네일 96 뮤신 파워 에센스,COSRX Advanced Snail 96 Mucin Power Essence,COSRX,skincare,serum,moderate,dry|combination|normal|sensitive|oily,dryness|dullness|wrinkles,olive_young|chicor
prod-torriden-dive-in-low-molecular-hyaluronic-acid-serum,토리든 다이브인 저분자 히알루론산 세럼,Torriden DIVE-IN Low Molecular Hyaluronic Acid Serum,Torriden,skincare,serum,budget,dry|sensitive|normal|combination|oily,dryness|dullness,olive_young|chicor
prod-beauty-of-joseon-glow-serum-rice-alpha-arbutin,뷰티오브조선 맑은쌀 맑은 세럼,Beauty of Joseon Glow Serum: Rice + Alpha-Arbutin,Beauty of Joseon,skincare,serum,budget,normal|combination|dry|oily,dark_spots|dullness|uneven_tone,olive_young
prod-anua-heartleaf-77-soothing-toner,아누아 어성초 77 수딩 토너,Anua Heartleaf 77% Soothing Toner,Anua,skincare,serum,budget,oily|combination|sensitive,redness|acne|pores,olive_young
prod-missha-time-revolution-the-first-treatment-essence-rx,미샤 타임 레볼루션 더 퍼스트 트리트먼트 에센스 RX,MISSHA Time Revolution The First Treatment Essence RX,MISSHA,skincare,serum,moderate,dry|normal|combination|oily,dullness|wrinkles|uneven_tone,olive_young|chicor
prod-innisfree-green-tea-seed-serum,이니스프리 그린티 씨드 세럼,Innisfree Green Tea Seed Serum,Innisfree,skincare,serum,moderate,dry|combination|normal,dryness|dullness,olive_young|innisfree_store
prod-sulwhasoo-first-care-activating-serum-ex,설화수 윤조에센스 EX,Sulwhasoo First Care Activating Serum EX,Sulwhasoo,skincare,serum,luxury,dry|normal|combination|sensitive,wrinkles|dullness|uneven_tone,department_store|chicor
prod-round-lab-dokdo-toner,라운드랩 독도 토너,Round Lab Dokdo Toner,Round Lab,skincare,serum,budget,oily|combination|normal,pores|dullness,olive_young|chicor
prod-cosrx-the-vitamin-c-23-serum,코스알엑스 더 비타민 C 23 세럼,COSRX The Vitamin C 23 Serum,COSRX,skincare,serum,moderate,normal|oily|combination,dark_spots|dullness|uneven_tone|sun_damage,olive_young|chicor
prod-goodal-green-tangerine-vita-c-dark-spot-serum,구달 청귤 비타C 잡티 세럼,Goodal Green Tangerine Vita C Dark Spot Serum,Goodal,skincare,serum,budget,normal|combination|oily,dark_spots|dullness|uneven_tone,olive_young
prod-skin1004-madagascar-centella-asiatica-100-ampoule,스킨1004 마다가스카르 센텔라 앰플,SKIN1004 Madagascar Centella Asiatica 100 Ampoule,SKIN1004,skincare,serum,budget,sensitive|oily|combination,redness|acne,olive_young
prod-drg-red-blemish-clear-soothing-active-essence,닥터지 레드 블레미쉬 클리어 수딩 액티브 에센스,Dr.G Red Blemish Clear Soothing Active Essence,Dr.G,skincare,serum,moderate,sensitive|combination,redness|acne|dryness,olive_young|chicor
prod-ahc-premium-hydra-b5-soothing-enhancer,AHC 프리미엄 히드라 B5 수딩 에센스,AHC Premium Hydra B5 Soothing Enhancer,AHC,skincare,serum,moderate,dry|normal|sensitive,dryness|redness,olive_young
prod-huxley-oil-essence-essence-like-oil-like,"헉슬리 오일 에센스 에센스 라이크, 오일 라이크","Huxley Oil Essence: Essence-Like, Oil-Like",Huxley,skincare,serum,premium,dry|normal,dryness|dullness|wrinkles,chicor|brand_store
prod-manyo-galactomy-niacin-essence,마녀공장 갈락토미 나이아신 에센스,ma:nyo Galactomy Niacin Essence,ma:nyo,skincare,serum,moderate,oily|combination|normal,pores|dullness|uneven_tone,olive_young
prod-dalba-white-truffle-first-spray-serum,달바 화이트 트러플 퍼스트 스프레이 세럼,d'Alba White Truffle First Spray Serum,d'Alba,skincare,serum,moderate,dry|normal|combination,dryness|dullness,olive_young|chicor
prod-numbuzin-no3-super-glowing-vitamin-c-serum,넘버즈인 3번 비타민 C 기미 세럼,numbuzin No.3 Super Glowing Vitamin C Serum,numbuzin,skincare,serum,budget,normal|combination|oily,dark_spots|dullness|uneven_tone,olive_young
prod-bio-heal-boh-probioderm-lifting-ampoule,바이오힐보 프로바이오덤 리프팅 크림,Bio Heal BOH Probioderm Lifting Ampoule,Bio Heal BOH,skincare,serum,moderate,dry|normal|combination,wrinkles|dullness,olive_young
prod-one-thing-propolis-honey-extract,원씽 프로폴리스 + 꿀 에센스,One Thing Propolis + Honey Extract,One Thing,skincare,serum,budget,dry|sensitive|normal,dryness|dullness|redness,olive_young
prod-the-history-of-whoo-bichup-self-generating-anti-aging-essence,후 비첩 자생 에센스,The History of Whoo Bichup Self-Generating Anti-Aging Essence,The History of Whoo,skincare,serum,luxury,dry|normal,wrinkles|dullness|dark_spots,department_store
prod-vt-reedle-shot-100-essence,VT 리들샷 100 에센스,VT Reedle Shot 100 Essence,VT,skincare,serum,moderate,normal|combination|oily,wrinkles|pores|dullness,olive_young
prod-numbuzin-no5-vitamin-b5-cica-serum,넘버즈인 5번 판테놀 진정 세럼,numbuzin No.5 Vitamin B5 + Cica Serum,numbuzin,skincare,serum,budget,sensitive|dry|combination,redness|dryness|eczema,olive_young
prod-aestura-theracne-365-active-ampoule,에스트라 더모시카 리페어 시카 앰플,Aestura Theracne 365 Active Ampoule,Aestura,skincare,serum,moderate,sensitive|oily|combination,acne|redness|pores,olive_young
prod-dear-klairs-freshly-juiced-vitamin-drop,클레어스 프레쉬리 쥬스드 비타민 드롭,"dear, Klairs Freshly Juiced Vitamin Drop","dear, Klairs",skincare,serum,moderate,normal|combination|sensitive,dark_spots|dullness|uneven_tone,olive_young
prod-beauty-of-joseon-ginseng-essence-water,조선미녀 인삼 에센스워터,Beauty of Joseon Ginseng Essence Water,Beauty of Joseon,skincare,serum,budget,dry|normal|combination,wrinkles|dullness,olive_young
prod-cosrx-low-ph-good-morning-gel-cleanser,코스알엑스 로우 pH 굿모닝 젤 클렌저,COSRX Low pH Good Morning Gel Cleanser,COSRX,skincare,cleanser,budget,oily|combination|normal|sensitive,acne|pores,olive_young|chicor
prod-innisfree-green-tea-foam-cleanser,이니스프리 그린티 폼 클렌저,Innisfree Green Tea Foam Cleanser,Innisfree,skincare,cleanser,budget,oily|combination|normal,pores|dullness,olive_young|innisfree_store
prod-round-lab-dokdo-cleansing-oil,라운드랩 독도 클렌징 오일,Round Lab Dokdo Cleansing Oil,Round Lab,skincare,cleanser,budget,dry|normal|combination|oily,pores|dullness,olive_young|chicor
prod-manyo-pure-cleansing-oil,마녀공장 퓨어 클렌징 오일,ma:nyo Pure Cleansing Oil,ma:nyo,skincare,cleanser,budget,oily|combination|normal,pores|acne,olive_young
prod-etude-soonjung-ph-65-whip-cleanser,에뛰드 순정 pH 6.5 워터리 클렌저,ETUDE SoonJung pH 6.5 Whip Cleanser,ETUDE,skincare,cleanser,budget,sensitive|dry|normal,redness|eczema|dryness,olive_young|etude_store
prod-anua-heartleaf-pore-control-cleansing-oil,아누아 어성초 클렌징 오일,Anua Heartleaf Pore Control Cleansing Oil,Anua,skincare,cleanser,budget,oily|combination,pores|acne,olive_young
prod-laneige-cream-skin-toner-moisturizer,라네즈 크림 스킨 토너 & 모이스처라이저,Laneige Cream Skin Toner & Moisturizer,Laneige,skincare,toner,moderate,dry|sensitive|normal,dryness|redness,olive_young|chicor|laneige_store
prod-son-park-beauty-water,손앤박 뷰티워터,Son & Park Beauty Water,Son & Park,skincare,toner,moderate,oily|combination|normal,pores|dullness,chicor|brand_store
prod-dear-klairs-supple-preparation-facial-toner,클레어스 서플 프레퍼레이션 페이셜 토너,"dear, Klairs Supple Preparation Facial Toner","dear, Klairs",skincare,toner,moderate,dry|sensitive|normal,dryness|redness,olive_young
prod-some-by-mi-aha-bha-pha-30-days-miracle-toner,Some By Mi AHA BHA PHA 30 데이즈 미라클 토너,Some By Mi AHA BHA PHA 30 Days Miracle Toner,Some By Mi,skincare,toner,budget,oily|combination,acne|pores|dullness,olive_young
prod-numbuzin-no1-heartleaf-soothing-toner-pad,넘버즈인 1번 맑은 어성초 토너패드,numbuzin No.1 Heartleaf Soothing Toner Pad,numbuzin,skincare,toner,budget,sensitive|oily|combination,redness|pores|acne,olive_young
prod-torriden-dive-in-low-molecular-hyaluronic-acid-toner,토리든 다이브인 저분자 히알루론산 토너,Torriden DIVE-IN Low Molecular Hyaluronic Acid Toner,Torriden,skincare,toner,budget,dry|sensitive|normal,dryness,olive_young
prod-bonajour-green-tea-water-bomb-toner,보나쥬르 그린티 워터 밤 토너,Bonajour Green Tea Water Bomb Toner,Bonajour,skincare,toner,budget,oily|combination|normal,pores|dullness,olive_young
prod-real-barrier-cicarelief-rx-fade-in-serum,리얼배리어 시카 릴리프 토너,Real Barrier Cicarelief RX Fade In Serum,Real Barrier,skincare,toner,moderate,sensitive|dry,dryness|redness,olive_young
prod-hera-cell-essence,헤라 셀 에센스,HERA Cell Essence,HERA,skincare,toner,premium,dry|normal|combination,dullness|wrinkles|uneven_tone,department_store|chicor
prod-drjart-cicapair-foam-cleanser,닥터자르트 시카페어 폼 클렌저,Dr.Jart+ Cicapair Foam Cleanser,Dr.Jart+,skincare,cleanser,moderate,sensitive|combination|normal,redness|acne,olive_young|chicor
prod-drjart-cicapair-toner,닥터자르트 시카페어 토너,Dr.Jart+ Cicapair Toner,Dr.Jart+,skincare,toner,moderate,sensitive|combination,redness|acne,olive_young|chicor
prod-sulwhasoo-gentle-cleansing-foam-ex,설화수 순행클렌징폼 EX,Sulwhasoo Gentle Cleansing Foam EX,Sulwhasoo,skincare,cleanser,premium,dry|normal|combination,dullness|dryness,department_store|chicor
prod-bioderma-sensibio-h2o,바이오더마 센시비오 H2O,Bioderma Sensibio H2O,Bioderma,skincare,cleanser,moderate,sensitive|dry|normal,redness|dryness,olive_young|chicor
prod-primera-mild-comforting-cleanser,프리메라 마일드 컴포팅 클렌저,primera Mild Comforting Cleanser,primera,skincare,cleanser,moderate,sensitive|dry|normal,dryness|redness,chicor|brand_store
prod-beauty-of-joseon-relief-sun-rice-probiotics-spf50-pa,뷰티오브조선 맑은쌀 선크림,Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+ PA++++,Beauty of Joseon,skincare,sunscreen,budget,dry|normal|sensitive|combination,sun_damage|dryness,olive_young
prod-round-lab-birch-juice-moisturizing-sun-cream-spf50-pa,라운드랩 자작나무 수분 선크림,Round Lab Birch Juice Moisturizing Sun Cream SPF50+ PA++++,Round Lab,skincare,sunscreen,budget,dry|sensitive|normal,sun_damage|dryness,olive_young|chicor
prod-innisfree-daily-uv-defense-sunscreen-spf36-pa,이니스프리 데일리 UV 디펜스 선크림,Innisfree Daily UV Defense Sunscreen SPF36 PA+++,Innisfree,skincare,sunscreen,budget,normal|combination|oily,sun_damage,olive_young|innisfree_store
prod-numbuzin-no1-pure-glass-clean-sun-spf50-pa,넘버즈인 1번 맑은 선크림,numbuzin No.1 Pure Glass Clean Sun SPF50+ PA++++,numbuzin,skincare,sunscreen,budget,oily|combination|normal,sun_damage|pores,olive_young
prod-drg-green-mild-up-sun-plus-spf50-pa,닥터지 그린 마일드 업 선플러스 SPF50+ PA++++,Dr.G Green Mild Up Sun Plus SPF50+ PA++++,Dr.G,skincare,sunscreen,budget,sensitive|normal|combination,sun_damage|redness,olive_young|chicor
prod-cosrx-aloe-soothing-sun-cream-spf50-pa,코스알엑스 알로에 수딩 선크림 SPF50+ PA+++,COSRX Aloe Soothing Sun Cream SPF50+ PA+++,COSRX,skincare,sunscreen,budget,sensitive|dry|normal,sun_damage|redness,olive_young
prod-aestura-atobarrier-365-hydro-soothing-sun-cream-spf50-pa,에스트라 아토베리어 365 하이드로 수딩 선크림,Aestura Atobarrier 365 Hydro Soothing Sun Cream SPF50+ PA++++,Aestura,skincare,sunscreen,moderate,sensitive|dry,sun_damage|eczema|redness,olive_young
prod-isoi-sun-milk-skin-moisture-spf50-pa,아이소이 선밀크 스킨 모이스처 SPF50+,isoi Sun Milk Skin Moisture SPF50+ PA++++,isoi,skincare,sunscreen,moderate,dry|normal,sun_damage|dryness,olive_young
prod-drjart-every-sun-day-uv-sun-fluid-spf50-pa,닥터자르트 에브리 선 데이 UV 썬 플루이드,Dr.Jart+ Every Sun Day UV Sun Fluid SPF50+ PA++++,Dr.Jart+,skincare,sunscreen,moderate,oily|combination|normal,sun_damage|pores,olive_young|chicor
prod-dalba-waterfull-essence-sun-cream-spf50-pa,달바 워터풀 에센스 선크림,d'Alba Waterfull Essence Sun Cream SPF50+ PA++++,d'Alba,skincare,sunscreen,moderate,dry|normal|combination,sun_damage|dryness,olive_young|chicor
prod-skin1004-madagascar-centella-air-fit-suncream-spf50-pa,스킨1004 마다가스카르 센텔라 에어핏 선크림,SKIN1004 Madagascar Centella Air-Fit Suncream SPF50+ PA++++,SKIN1004,skincare,sunscreen,budget,sensitive|oily|combination,sun_damage|redness,olive_young
prod-cell-fusion-c-derma-relief-sunscreen-spf50-pa,셀퓨전씨 톤업 선크림 SPF50+,Cell Fusion C Derma Relief Sunscreen SPF50+ PA++++,Cell Fusion C,skincare,sunscreen,moderate,sensitive|normal,sun_damage|redness,olive_young|chicor
prod-etude-soonjung-mild-defence-sun-cream-spf49-pa,에뛰드 순정 선크림 SPF50+,ETUDE SoonJung Mild Defence Sun Cream SPF49 PA++,ETUDE,skincare,sunscreen,budget,sensitive|normal|combination,sun_damage|redness,olive_young|etude_store
prod-clio-kill-cover-skin-fixer-sun-cream-spf50-pa,클리오 킬커버 선크림 SPF50+,CLIO Kill Cover Skin Fixer Sun Cream SPF50+ PA++++,CLIO,skincare,sunscreen,moderate,oily|combination|normal,sun_damage,olive_young
prod-primera-skin-relief-uv-protector-spf50-pa,프리메라 스킨 릴리프 UV 프로텍터 SPF50+,primera Skin Relief UV Protector SPF50+ PA++++,primera,skincare,sunscreen,moderate,sensitive|dry,sun_damage|redness|eczema,chicor|brand_store
prod-mediheal-nmf-aquaring-ampoule-mask-ex,메디힐 N.M.F 아쿠아링 앰플 마스크,Mediheal N.M.F Aquaring Ampoule Mask EX,Mediheal,skincare,mask,budget,dry|normal|combination|sensitive,dryness|dullness,olive_young|chicor
prod-drjart-cicapair-calming-mask,닥터자르트 시카페어 시카 칼밍 마스크,Dr.Jart+ Cicapair Calming Mask,Dr.Jart+,skincare,mask,moderate,sensitive|combination,redness|acne,olive_young|chicor
prod-innisfree-super-volcanic-pore-clay-mask-2x,이니스프리 수퍼 화산송이 포어 클레이 마스크 2X,Innisfree Super Volcanic Pore Clay Mask 2X,Innisfree,skincare,mask,budget,oily|combination,pores|acne,olive_young|innisfree_store
prod-sulwhasoo-overnight-vitalizing-mask,설화수 여윤팩,Sulwhasoo Overnight Vitalizing Mask,Sulwhasoo,skincare,mask,premium,dry|normal,wrinkles|dullness,department_store|chicor
prod-mediheal-tea-tree-care-solution-essential-mask-ex,메디힐 티트리 케어 솔루션 에센셜 마스크 EX,Mediheal Tea Tree Care Solution Essential Mask EX,Mediheal,skincare,mask,budget,oily|combination|sensitive,acne|pores|redness,olive_young
prod-laneige-lip-sleeping-mask,라네즈 립 슬리핑 마스크,Laneige Lip Sleeping Mask,Laneige,skincare,mask,moderate,dry|normal|combination|oily|sensitive,dryness,olive_young|chicor|laneige_store
prod-skinfood-black-sugar-perfect-essential-scrub-2x,스킨푸드 블랙슈가 퍼펙트 에센셜 스크럽 2X,Skinfood Black Sugar Perfect Essential Scrub 2X,Skinfood,skincare,mask,budget,oily|combination|normal,pores|dullness,olive_young
