id,name_ko,name_en,brand,category,subcategory,budget_level,expected_skin_types,expected_concerns,available_at
prod-abib-heartleaf-stress-relief-calming-sheet-mask,아비브 어성초 스트레스 릴리프 캄 시트 마스크,Abib Heartleaf Stress Relief Calming Sheet Mask,Abib,skincare,mask,budget,sensitive|oily|combination,redness|acne,olive_young
prod-cosrx-acne-pimple-master-patch,코스알엑스 아크네 핌플 마스터 패치,COSRX Acne Pimple Master Patch,COSRX,skincare,mask,budget,oily|combination|normal|sensitive,acne,olive_young|chicor
prod-papa-recipe-bombee-honey-mask,파파레서피 봄비 꿀단지 마스크,Papa Recipe Bombee Honey Mask,Papa Recipe,skincare,mask,budget,dry|normal|sensitive,dryness|dullness,olive_young
prod-round-lab-dokdo-toner-pad,라운드랩 독도 토너패드,Round Lab Dokdo Toner Pad,Round Lab,skincare,mask,budget,oily|combination|normal,pores|dullness,olive_young
prod-vt-cica-daily-soothing-mask,VT 시카 데일리 수딩 마스크,VT Cica Daily Soothing Mask,VT,skincare,mask,budget,sensitive|combination|normal,redness|acne,olive_young
prod-jm-solution-honey-luminous-royal-propolis-mask,JM솔루션 꿀 광채 로얄 프로폴리스 마스크,JM Solution Honey Luminous Royal Propolis Mask,JM Solution,skincare,mask,budget,dry|normal|combination,dryness|dullness,olive_young
prod-heimish-dailism-water-sheet-mask,헤이미쉬 데일리즘 워터 시트 마스크,Heimish Dailism Water Sheet Mask,Heimish,skincare,mask,budget,dry|normal|combination,dryness|dullness,olive_young
prod-tonymoly-im-real-avocado-mask-sheet,토니모리 I'm Real 아보카도 마스크 시트,TONYMOLY I'm Real Avocado Mask Sheet,TONYMOLY,skincare,mask,budget,dry|normal,dryness|dullness,olive_young
prod-ahc-ten-revolution-real-eye-cream-for-face,AHC 텐 레볼루션 리얼 아이크림 포 페이스,AHC Ten Revolution Real Eye Cream for Face,AHC,skincare,eye_care,moderate,dry|normal|combination,wrinkles|dark_circles,olive_young
prod-innisfree-green-tea-seed-eye-cream,이니스프리 그린티 씨드 아이크림,Innisfree Green Tea Seed Eye Cream,Innisfree,skincare,eye_care,moderate,dry|normal|combination,wrinkles|dark_circles|dryness,olive_young|innisfree_store
prod-sulwhasoo-concentrated-ginseng-renewing-eye-cream,설화수 자음생 아이크림,Sulwhasoo Concentrated Ginseng Renewing Eye Cream,Sulwhasoo,skincare,eye_care,luxury,dry|normal,wrinkles|dark_circles|dullness,department_store
prod-missha-time-revolution-night-repair-probio-eye-cream,미샤 타임 레볼루션 나이트 리페어 아이크림,MISSHA Time Revolution Night Repair Probio Eye Cream,MISSHA,skincare,eye_care,moderate,dry|normal|combination,wrinkles|dark_circles,olive_young
prod-cosrx-advanced-snail-peptide-eye-cream,코스알엑스 어드밴스드 스네일 펩타이드 아이크림,COSRX Advanced Snail Peptide Eye Cream,COSRX,skincare,eye_care,moderate,dry|normal|combination|sensitive,wrinkles|dark_circles,olive_young
prod-the-history-of-whoo-bichup-ja-yoon-eye-cream,후 비첩 자생 아이크림,The History of Whoo Bichup Ja Yoon Eye Cream,The History of Whoo,skincare,eye_care,luxury,dry|normal,wrinkles|dark_circles|dark_spots,department_store
prod-drjart-cicapair-eye-cream,닥터자르트 시카페어 아이크림,Dr.Jart+ Cicapair Eye Cream,Dr.Jart+,skincare,eye_care,moderate,sensitive|combination|normal,dark_circles|redness,olive_young|chicor
prod-the-saem-cell-renew-bio-eye-cream,더샘 세미 에센셜 아이크림,The SAEM Cell Renew Bio Eye Cream,The SAEM,skincare,eye_care,budget,dry|normal|combination,wrinkles|dark_circles,olive_young
prod-isa-knox-age-focus-phyto-pro-retinol-eye-cream,이자녹스 에이지 포커스 피토프로 레티놀 아이크림,ISA KNOX Age Focus Phyto Pro Retinol Eye Cream,ISA KNOX,skincare,eye_care,premium,dry|normal,wrinkles|dark_circles|dullness,department_store|chicor
prod-numbuzin-no4-collagen-73-dewy-focus-eye-serum,넘버즈인 4번 레티놀 아이크림,numbuzin No.4 Collagen 73 Dewy Focus Eye Serum,numbuzin,skincare,eye_care,budget,normal|combination|dry,wrinkles|dark_circles,olive_young
prod-romnd-juicy-lasting-tint,롬앤 쥬시 래스팅 틴트,rom&nd Juicy Lasting Tint,rom&nd,makeup,lip_tint,budget,dry|oily|combination|sensitive|normal,,olive_young
prod-romnd-glasting-melting-balm,롬앤 글래스팅 멜팅 밤,rom&nd Glasting Melting Balm,rom&nd,makeup,lip_balm,moderate,dry|oily|combination|sensitive|normal,dryness,olive_young
prod-peripera-ink-mood-matte-tint,페리페라 잉크 무드 매트 틴트,Peripera Ink Mood Matte Tint,Peripera,makeup,lip_tint,budget,oily|combination|normal,,olive_young
prod-peripera-ink-the-velvet,페리페라 잉크 더 벨벳,Peripera Ink The Velvet,Peripera,makeup,lip_tint,budget,dry|oily|combination|sensitive|normal,,olive_young
prod-clio-melting-dewy-tint,클리오 멜팅 디유 틴트,Clio Melting Dewy Tint,CLIO,makeup,lip_tint,moderate,dry|combination|normal,dryness,olive_young
prod-etude-fixing-tint,에뛰드 픽싱 틴트,Etude Fixing Tint,ETUDE,makeup,lip_tint,moderate,dry|oily|combination|sensitive|normal,,olive_young|brand_store
prod-hera-sensual-powder-matte-lipstick,헤라 센슈얼 파우더 매트 립스틱,Hera Sensual Powder Matte Lipstick,HERA,makeup,lip_stick,luxury,dry|oily|combination|sensitive|normal,,department_store|chicor
prod-espoir-couture-lip-tint-velvet,에스쁘아 쿠튀르 립 틴트 벨벳,espoir Couture Lip Tint Velvet,espoir,makeup,lip_tint,premium,dry|oily|combination|sensitive|normal,,chicor|olive_young
prod-laneige-two-tone-tint-lip-bar,라네즈 투톤 립 틴트,Laneige Two Tone Tint Lip Bar,Laneige,makeup,lip_tint,moderate,dry|oily|combination|sensitive|normal,,olive_young|department_store
prod-mamonde-creamy-tint-color-balm-intense,마몽드 크리미 틴트 컬러 밤 인텐스,Mamonde Creamy Tint Color Balm Intense,Mamonde,makeup,lip_balm,moderate,dry|combination|normal,dryness,olive_young|department_store
prod-too-cool-for-school-glaze-lip-gloss,투쿨포스쿨 글로우 핏 립 글레이즈,too cool for school Glaze Lip Gloss,too cool for school,makeup,lip_gloss,budget,dry|oily|combination|sensitive|normal,,olive_young
prod-sulwhasoo-essential-lip-serum-stick,설화수 에센셜 립 세럼 스틱,Sulwhasoo Essential Lip Serum Stick,Sulwhasoo,makeup,lip_stick,luxury,dry|sensitive|normal,dryness|wrinkles,department_store
prod-wakemake-water-blurring-glow-lipstick,웨이크메이크 워터 블러링 글로우 립스틱,Wakemake Water Blurring Glow Lipstick,Wakemake,makeup,lip_stick,moderate,dry|oily|combination|sensitive|normal,,olive_young
prod-lilybyred-mood-liar-velvet-tint,릴리바이레드 무드 라이어 벨벳 틴트,lilybyred Mood Liar Velvet Tint,lilybyred,makeup,lip_tint,budget,dry|oily|combination|sensitive|normal,,olive_young
prod-3ce-velvet-lip-tint,3CE 벨벳 립 틴트,3CE Velvet Lip Tint,3CE,makeup,lip_tint,premium,dry|oily|combination|sensitive|normal,,chicor|brand_store
prod-clio-kill-cover-foun-wear-cushion-all-new,클리오 킬커버 파운웨어 쿠션 올 뉴,Clio Kill Cover Foun-Wear Cushion All New,CLIO,makeup,cushion,moderate,oily|combination,pores|uneven_tone,olive_young
prod-missha-magic-cushion-cover-lasting,미샤 매직 쿠션 커버 래스팅,Missha Magic Cushion Cover Lasting,MISSHA,makeup,cushion,budget,oily|combination|normal,uneven_tone|pores,olive_young
prod-laneige-neo-cushion-matte,라네즈 네오 쿠션 매트,Laneige Neo Cushion Matte,Laneige,makeup,cushion,premium,oily|combination,pores|uneven_tone,olive_young|department_store
prod-hera-black-cushion,헤라 블랙 쿠션,Hera Black Cushion,HERA,makeup,cushion,premium,dry|oily|combination|normal,uneven_tone|dullness,department_store|chicor
prod-etude-double-lasting-cushion-glow,에뛰드 더블 래스팅 쿠션 글로우,Etude Double Lasting Cushion Glow,ETUDE,makeup,cushion,premium,dry|normal,dryness|dullness,olive_young|brand_store
prod-sulwhasoo-perfecting-cushion,설화수 퍼펙팅 쿠션,Sulwhasoo Perfecting Cushion,Sulwhasoo,makeup,cushion,luxury,dry|combination|normal,wrinkles|dullness|uneven_tone,department_store
prod-innisfree-no-sebum-powder-cushion,이니스프리 노세범 파우더 쿠션,Innisfree No-Sebum Powder Cushion,Innisfree,makeup,cushion,premium,oily|combination,pores|acne,olive_young|brand_store
prod-espoir-pro-tailor-be-foundation,에스쁘아 프로 테일러 비 파운데이션,espoir Pro Tailor Be Foundation,espoir,makeup,foundation,premium,dry|oily|combination|normal,uneven_tone|pores,chicor|olive_young
prod-missha-m-perfect-cover-bb-cream-spf42,미샤 M 퍼펙트 커버 BB크림,Missha M Perfect Cover BB Cream SPF42,MISSHA,makeup,bb_cream,budget,dry|combination|normal|sensitive,uneven_tone|dark_spots|dullness,olive_young
prod-amorepacific-time-response-skin-reserve-cushion,아모레퍼시픽 타임 레스폰스 스킨 리저브 쿠션,Amorepacific Time Response Skin Reserve Cushion,Amorepacific,makeup,cushion,luxury,dry|normal,wrinkles|dullness|dryness,department_store
prod-clio-pro-eye-palette,클리오 프로 아이 팔레트,Clio Pro Eye Palette,CLIO,makeup,eye_shadow,premium,dry|oily|combination|sensitive|normal,,olive_young
prod-peripera-all-take-mood-palette,페리페라 올 테이크 무드 팔레트,Peripera All Take Mood Palette,Peripera,makeup,eye_shadow,moderate,dry|oily|combination|sensitive|normal,,olive_young
prod-etude-play-color-eyes,에뛰드 플레이 컬러 아이즈,Etude Play Color Eyes,ETUDE,makeup,eye_shadow,premium,dry|oily|combination|sensitive|normal,,olive_young|brand_store
prod-clio-kill-lash-superproof-mascara,클리오 킬 래쉬 슈퍼프루프 마스카라,Clio Kill Lash Superproof Mascara,CLIO,makeup,mascara,moderate,dry|oily|combination|sensitive|normal,,olive_young
prod-romnd-han-all-sharp-proof-mascara,롬앤 한올 슈퍼 프루프 마스카라,rom&nd Han All Sharp Proof Mascara,rom&nd,makeup,mascara,moderate,dry|oily|combination|sensitive|normal,,olive_young
prod-wakemake-soft-blurring-eye-palette,웨이크메이크 소프트 블러링 아이 팔레트,Wakemake Soft Blurring Eye Palette,Wakemake,makeup,eye_shadow,moderate,dry|oily|combination|sensitive|normal,,olive_young
prod-clio-sharp-so-simple-waterproof-pencil-liner,클리오 샤프 소 심플 워터프루프 펜슬 라이너,Clio Sharp So Simple Waterproof Pencil Liner,CLIO,makeup,eye_liner,budget,dry|oily|combination|sensitive|normal,,olive_young
prod-peripera-ink-thin-thin-eye-pencil,페리페라 잉크 씬씬 아이 펜슬,Peripera Ink Thin Thin Eye Pencil,Peripera,makeup,eye_liner,budget,dry|oily|combination|sensitive|normal,,olive_young
prod-3ce-eye-switch,3CE 아이 스위치,3CE Eye Switch,3CE,makeup,eye_shadow,moderate,dry|oily|combination|sensitive|normal,,chicor|brand_store
prod-hera-eye-designer-palette,헤라 아이 디자이너 팔레트,Hera Eye Designer Palette,HERA,makeup,eye_shadow,luxury,dry|oily|combination|sensitive|normal,,department_store|chicor
prod-laneige-glowy-makeup-serum,라네즈 글로위 메이크업 세럼,Laneige Glowy Makeup Serum,Laneige,makeup,primer,moderate,dry|combination|normal,dryness|dullness,olive_young|department_store
prod-innisfree-no-sebum-mineral-powder,이니스프리 노세범 미네랄 파우더,Innisfree No-Sebum Mineral Powder,Innisfree,makeup,setting_powder,budget,oily|combination,pores,olive_young|brand_store
prod-peripera-pure-bebe-blusher,페리페라 순수 베베 블러셔,Peripera Pure Bebe Blusher,Peripera,makeup,blush,budget,dry|oily|combination|sensitive|normal,,olive_young
prod-clio-kill-cover-fixer-primer,클리오 킬커버 피시저 프라이머,Clio Kill Cover Fixer Primer,CLIO,makeup,primer,moderate,oily|combination,pores|uneven_tone,olive_young
prod-etude-lovely-cookie-blusher,에뛰드 꽃잎 블러셔,Etude Lovely Cookie Blusher,ETUDE,makeup,blush,budget,dry|oily|combination|sensitive|normal,,olive_young|brand_store
prod-kundal-honey-macadamia-nature-shampoo,쿤달 허니 앤 마카다미아 네이처 샴푸,Kundal Honey & Macadamia Nature Shampoo,Kundal,haircare,shampoo,budget,dry|normal,dryness,olive_young
prod-lador-anti-hair-loss-shampoo,라보에이치 탈모 증상 완화 샴푸,La'dor Anti Hair Loss Shampoo,La'dor,haircare,shampoo,budget,oily|combination|normal,,olive_young
prod-amos-green-tea-refresh-shampoo,아모스 녹차 실감 샴푸,Amos Green Tea Refresh Shampoo,Amos Professional,haircare,shampoo,premium,oily|combination,,olive_young|chicor
prod-mise-en-scene-perfect-serum-shampoo,미장센 퍼펙트 세럼 샴푸,Mise en Scene Perfect Serum Shampoo,Mise en Scène,haircare,shampoo,budget,dry|combination|normal,dryness,olive_young
prod-ryo-jayang-yunmo-anti-hair-loss-shampoo,려 자양윤모 샴푸,Ryo Jayang Yunmo Anti Hair Loss Shampoo,Ryo,haircare,shampoo,moderate,oily|combination|normal|sensitive,,olive_young
prod-amos-professional-green-tea-real-fresh-shampoo,아모스 프로페셔널 녹차 실감 샴푸,Amos Professional Green Tea Real Fresh Shampoo,Amos Professional,haircare,shampoo,moderate,oily|combination|normal,pores,olive_young
prod-moremo-water-treatment-miracle-10,모레모 워터 트리트먼트 미라클 10,Moremo Water Treatment Miracle 10,Moremo,haircare,treatment,premium,dry|normal,dryness,olive_young
prod-lador-perfect-hair-fill-up,라도르 퍼펙트 헤어 필 업,La'dor Perfect Hair Fill-Up,La'dor,haircare,treatment,moderate,dry|combination|normal,dryness,olive_young
prod-mise-en-scene-perfect-serum-treatment-pack,미장센 퍼펙트 세럼 트리트먼트 팩,Mise en Scene Perfect Serum Treatment Pack,Mise en Scène,haircare,treatment,budget,dry|combination|normal,dryness,olive_young
prod-kundal-honey-macadamia-hair-treatment,쿤달 허니 앤 마카다미아 헤어 트리트먼트,Kundal Honey & Macadamia Hair Treatment,Kundal,haircare,treatment,moderate,dry|normal,dryness,olive_young
prod-amos-professional-recovery-cream-treatment,아모스 리커버 크림 트리트먼트,Amos Professional Recovery Cream Treatment,Amos Professional,haircare,treatment,premium,dry|combination|normal,dryness,olive_young|chicor
prod-moremo-hair-essence-delightful-oil,모레모 헤어 에센스 딜라이트풀 오일,Moremo Hair Essence Delightful Oil,Moremo,haircare,hair_oil,premium,dry|normal,dryness,olive_young
prod-mise-en-scene-perfect-original-serum,미장센 퍼펙트 오리지널 세럼,Mise en Scene Perfect Original Serum,Mise en Scène,haircare,hair_serum,budget,dry|combination|normal,dryness,olive_young
prod-lador-perfect-hair-fill-up-essence,라도르 퍼펙트 헤어 필 업 에센스,La'dor Perfect Hair Fill-Up Essence,La'dor,haircare,hair_essence,moderate,dry|combination|normal,dryness,olive_young
prod-hera-signia-hair-oil,헤라 시그니아 헤어 오일,Hera Signia Hair Oil,HERA,haircare,hair_oil,premium,dry|normal,dryness,department_store
prod-kundal-argan-hair-serum,쿤달 아르간 헤어 세럼,Kundal Argan Hair Serum,Kundal,haircare,hair_serum,budget,dry|combination|normal,dryness,olive_young
prod-mise-en-scene-hello-bubble-foam-color,미장센 헬로 버블 폼 컬러,Mise en Scene Hello Bubble Foam Color,Mise en Scène,haircare,hair_color,budget,dry|oily|combination|sensitive|normal,,olive_young
prod-amos-professional-curling-essence-2x,아모스 커링 에센스 2X,Amos Professional Curling Essence 2X,Amos Professional,haircare,styling,moderate,dry|combination|normal,,olive_young|chicor
prod-ryo-double-effector-root-volume-setting,려 더블 이펙터 루트 볼륨 세팅,Ryo Double Effector Root Volume Setting,Ryo,haircare,styling,moderate,oily|combination|normal,,olive_young
prod-moremo-hair-serum-r,모레모 헤어 세럼 R,Moremo Hair Serum R,Moremo,haircare,styling,moderate,dry|combination|normal,dryness,olive_young
prod-kundal-pure-body-wash,쿤달 퓨어 바디워시,Kundal Pure Body Wash,Kundal,bodycare,body_wash,budget,dry|oily|combination|sensitive|normal,dryness,olive_young
prod-happy-bath-green-tea-body-wash,해피바스 그린티 바디워시,Happy Bath Green Tea Body Wash,Happy Bath,bodycare,body_wash,budget,oily|combination|normal,acne|pores,olive_young
prod-hanyul-moonlight-citron-body-wash,한율 달빛유자 바디워시,Hanyul Moonlight Citron Body Wash,Hanyul,bodycare,body_wash,premium,dry|combination|normal,dryness|dullness,olive_young|department_store
prod-mediheal-tea-tree-body-wash,메디힐 티트리 바디워시,Mediheal Tea Tree Body Wash,Mediheal,bodycare,body_wash,budget,oily|combination|sensitive,acne|redness,olive_young
prod-amorepacific-body-ritual-cleansing-oil,아모레퍼시픽 바디 리추얼 클렌징 오일,Amorepacific Body Ritual Cleansing Oil,Amorepacific,bodycare,body_wash,luxury,dry|sensitive|normal,dryness,department_store
prod-kundal-honey-macadamia-pure-body-lotion,쿤달 허니 앤 마카다미아 퓨어 바디 로션,Kundal Honey & Macadamia Pure Body Lotion,Kundal,bodycare,body_lotion,budget,dry|combination|normal,dryness,olive_young
prod-banila-co-clean-it-zero-cleansing-balm,바닐라코 클린 잇 제로 클렌징 밤,Banila Co Clean It Zero Cleansing Balm,Banila Co,bodycare,body_wash,moderate,dry|combination|sensitive|normal,dryness,olive_young|chicor
prod-cetaphil-daily-advance-body-moisturizer,세타필 바디 모이스처라이저,Cetaphil Daily Advance Body Moisturizer,Cetaphil,bodycare,body_lotion,moderate,dry|sensitive|normal,dryness|eczema,olive_young
prod-hanyul-moonlight-citron-body-lotion,한율 달빛유자 바디 로션,Hanyul Moonlight Citron Body Lotion,Hanyul,bodycare,body_lotion,premium,dry|combination|normal,dryness|dullness,olive_young|department_store
prod-sulwhasoo-first-care-activating-body-cream,설화수 윤조 바디 크림,Sulwhasoo First Care Activating Body Cream,Sulwhasoo,bodycare,body_cream,luxury,dry|normal,dryness|wrinkles|dullness,department_store
prod-atopalm-mle-body-lotion,아토팜 MLE 바디로션,Atopalm MLE Body Lotion,Atopalm,bodycare,body_lotion,moderate,dry|sensitive|normal,dryness|eczema,olive_young
prod-the-face-shop-therapy-garden-hand-cream,더페이스샵 테라피가든 핸드크림,The Face Shop Therapy Garden Hand Cream,The Face Shop,bodycare,hand_cream,budget,dry|normal,dryness,olive_young
prod-laneige-lip-hand-blooming-set,라네즈 립 앤 핸드 블루밍 세트,Laneige Lip & Hand Blooming Set,Laneige,bodycare,hand_cream,premium,dry|normal,dryness,olive_young|department_store
prod-tamburins-perfume-hand-cream,탬버린즈 퍼퓸 핸드크림,Tamburins Perfume Hand Cream,Tamburins,bodycare,hand_cream,luxury,dry|oily|combination|sensitive|normal,dryness,brand_store|chicor
prod-tony-moly-peach-hand-cream,토니모리 피치 핸드크림,Tony Moly Peach Hand Cream,TONYMOLY,bodycare,hand_cream,budget,dry|normal,dryness,olive_young|brand_store
prod-round-lab-birch-moisturizing-sun-cream-body,라운드랩 자작나무 수분 선크림 바디,Round Lab Birch Moisturizing Sun Cream Body,Round Lab,bodycare,body_sunscreen,moderate,dry|combination|sensitive|normal,sun_damage|dryness,olive_young
prod-isoi-sun-milk-body-spf50,아이소이 선 밀크 바디 SPF50+,isoi Sun Milk Body SPF50+,isoi,bodycare,body_sunscreen,moderate,sensitive|dry|normal,sun_damage|redness,olive_young|chicor
prod-mediheal-madecassoside-body-serum,메디힐 마데카소사이드 바디 세럼,Mediheal Madecassoside Body Serum,Mediheal,bodycare,body_serum,moderate,sensitive|dry,redness|acne|dryness,olive_young
prod-illiyoon-probiotics-skin-barrier-cera-balm,일리윤 프로바이오틱 스킨 배리어 크림 워시,Illiyoon Probiotics Skin Barrier Cera Balm,Illiyoon,bodycare,body_balm,moderate,dry|sensitive,eczema|dryness|redness,olive_young
prod-etude-my-beauty-tool-silicone-puff,에뛰드 마이 뷰티 툴 실리콘 퍼프,ETUDE My Beauty Tool Silicone Puff,ETUDE,tools,application_sponge,budget,all,,olive_young
prod-etude-my-beauty-tool-airy-puff,에뛰드 마이 뷰티 툴 에어리 퍼프,Etude My Beauty Tool Airy Puff,ETUDE,tools,makeup_puff,budget,all,,olive_young|brand_store
prod-fillimilli-face-soft-velvet-sponge,필리밀리 페이스 소프트 벨벳 스펀지,Fillimilli Face Soft Velvet Sponge,Fillimilli,tools,makeup_sponge,budget,all,,olive_young
prod-fillimilli-eye-shadow-brush-set,필리밀리 아이 섀도우 브러시 세트,Fillimilli Eye Shadow Brush Set,Fillimilli,tools,makeup_brush,premium,all,,olive_young
prod-daiso-silicone-mask-pack-cover,다이소 실리콘 마스크 팩 커버,Daiso Silicone Mask Pack Cover,Daiso,tools,mask_cover,budget,all,,daiso
prod-etude-my-beauty-tool-mask-sheet-hook,에뛰드 마이 뷰티 툴 마스크 시트 후크,Etude My Beauty Tool Mask Sheet Hook,ETUDE,tools,mask_accessory,budget,all,,olive_young|brand_store
prod-fillimilli-led-compact-mirror,필리밀리 LED 컴팩트 거울,Fillimilli LED Compact Mirror,Fillimilli,tools,mirror,premium,all,,olive_young
prod-etude-my-beauty-tool-brush-pouch,에뛰드 마이 뷰티 툴 브러시 파우치,Etude My Beauty Tool Brush Pouch,ETUDE,tools,organizer,budget,all,,olive_young|brand_store
prod-tonymoly-floria-nutra-energy-body-scrub,토니모리 플로리아 너리싱 바디 스크럽,TONYMOLY Floria Nutra Energy Body Scrub,TONYMOLY,bodycare,body_scrub,budget,oily|combination|normal,dullness|dryness,olive_young
prod-innisfree-eco-beauty-tool-silicone-cleanser,이니스프리 에코 뷰티 툴 실리콘 클렌저,Innisfree Eco Beauty Tool Silicone Cleanser,Innisfree,tools,cleansing_brush,budget,all,pores,olive_young|innisfree_store
prod-missha-super-aqua-soft-cleansing-puff,미샤 슈퍼 아쿠아 소프트 클렌징 퍼프,MISSHA Super Aqua Soft Cleansing Puff,MISSHA,tools,cleansing_brush,budget,all,pores|acne,olive_young
