id,source_id,name_ko,name_en,inci_name,function,function_confidence,caution_skin_types,caution_skin_types_confidence,is_approved,review_notes
dcaab478-9e74-5c69-8c64-74b89f866d8b,마데카소사이드,마데카소사이드,Madecassoside,Madecassoside,antioxidant|soothing|anti-inflammatory|skin strengthening,0.95,sensitive,0.7,TRUE,
088f665b-bba1-5c18-b4cd-f287bb273404,만델릭애씨드,만델릭애씨드,Mandelic Acid,Mandelic Acid,antimicrobial|exfoliation|skin smoothing|cell turnover,0.95,sensitive,0.8,TRUE,
1e08fb3c-9706-52e8-8bb0-38991ece2c0e,메틸파라벤,메틸파라벤,Methylparaben,Methylparaben,preservative|fragrance,0.95,sensitive,0.7,TRUE,
0c9c7311-355e-5f80-a519-adad494735dd,베타인,베타인,Betaine,Betaine,moisturizing|hydration|skin smoothing|antistatic,0.95,sensitive,0.6,TRUE,
f56d741c-2dfb-5eb0-b195-a7e11ea1ca77,병풀추출물,병풀추출물,Centella Asiatica Extract,Centella Asiatica Extract,soothing|anti-inflammatory|skin strengthening|healing,0.95,sensitive,0.7,TRUE,
6ce29637-1cc6-58de-a3b2-09c618612fb4,부틸렌글라이콜,부틸렌글라이콜,Butylene Glycol,Butylene Glycol,moisturizing|hydration|solvent|viscosity controlling,0.95,sensitive,0.7,TRUE,
e68172cd-bea2-5849-a7c5-9fb90084c878,글라이콜릭애씨드,글라이콜릭애씨드,Glycolic Acid,Glycolic Acid,exfoliation|skin smoothing|cell turnover|buffering,0.95,sensitive,0.85,TRUE,
0c682c87-5912-5b08-95c5-668b8634a362,비사보롤,비사보롤,Bisabolol,Bisabolol,soothing|skin conditioning|anti-inflammatory,0.95,sensitive,0.7,TRUE,
8a3f3a05-4e25-58c2-ab8f-1e9fe6318605,살리실릭애씨드,살리실릭애씨드,Salicylic Acid,Salicylic Acid,exfoliation|anti-seborrheic|hair conditioning|preservative,0.95,sensitive|dry,0.8,TRUE,
1c439e9c-9bca-5e07-874d-41aa9df9e1a6,글루타티온,글루타티온,Glutathione,Glutathione,brightening|antioxidant|tone-evening|tyrosinase inhibition,0.95,sensitive,0.6,TRUE,
4a3c7888-7091-523d-9540-3ec3682553ee,글리세린,글리세린,Glycerin,Glycerin,moisturizing|hydration|skin protecting|solvent|hair conditioning,0.95,sensitive,0.6,TRUE,
177c9f68-a3b4-54c8-b6a9-f541c3ce5690,소듐라우릴설페이트,소듐라우릴설페이트,Sodium Lauryl Sulfate,Sodium Lauryl Sulfate,cleansing|emulsifying|foaming,0.95,sensitive|dry,0.8,TRUE,
6171b8d7-08e8-57fd-8e42-9edbf029bda4,소듐하이알루로네이트,소듐하이알루로네이트,Sodium Hyaluronate,Sodium Hyaluronate,moisturizing|hydration|moisture retention|plumping|skin smoothing,0.95,sensitive,0.6,TRUE,
28430301-3c39-561f-b166-88291c640461,스쿠알란,스쿠알란,Squalane,Squalane,moisturizing|skin smoothing|emollient|barrier repair,0.95,,0.7,TRUE,
06a04231-c65a-589c-9a35-55f97081e846,아데노신,아데노신,Adenosine,Adenosine,anti-aging|anti-wrinkle|skin smoothing|cell energy,0.95,sensitive,0.6,TRUE,
27a190f4-6546-5a50-9ca9-525bd942ffda,아스코빅애씨드,아스코빅애씨드,Ascorbic Acid,Ascorbic Acid,antioxidant|skin conditioning|buffering|brightening,0.95,sensitive,0.75,TRUE,
edc1c6e6-b281-59b5-88df-9538ef2bead7,아스코빌글루코사이드,아스코빌글루코사이드,Ascorbyl Glucoside,Ascorbyl Glucoside,antioxidant|brightening|tone-evening|collagen-boosting,0.95,sensitive,0.6,TRUE,
fc060d92-163b-5fe1-9eef-562266e1d185,알란토인,알란토인,Allantoin,Allantoin,soothing|skin protecting|skin conditioning,0.95,sensitive,0.7,TRUE,
0f9feae3-c669-5886-ad6c-eae58b6caf38,꿀추출물,꿀추출물,Honey Extract,Honey Extract,moisturizing|hydration|humectant|skin smoothing,0.95,sensitive,0.7,TRUE,
5ac73685-6fc5-506c-acd8-f73f3497c23a,나이아신아마이드,나이아신아마이드,Niacinamide,Niacinamide,skin smoothing|tone-evening|brightening|anti-inflammatory,0.95,sensitive,0.7,TRUE,
20cb6680-a64e-5a2a-b17a-7436bb4f8f7c,인삼추출물,인삼추출물,Ginseng Extract,Panax Ginseng Root Extract,skin strengthening|skin conditioning|hair conditioning|antioxidant,0.95,sensitive,0.6,TRUE,
03a8979c-50be-5050-8b17-71608e08831f,녹차추출물,녹차추출물,Green Tea Extract,Camellia Sinensis Leaf Extract,antioxidant|soothing|skin protecting|astringent,0.95,sensitive,0.7,TRUE,
3bcf2d7a-8bb6-5b70-87f7-a46c11aac18f,코직애씨드,코직애씨드,Kojic Acid,Kojic Acid,antioxidant|brightening|dark spot reduction|tone-evening|tyrosinase inhibition,0.95,sensitive,0.7,TRUE,
1692f21c-ff7c-5511-9975-c65c71ff8f2a,콜라겐,콜라겐,Collagen,Collagen,moisturizing|skin conditioning|hair conditioning|plumping|skin smoothing,0.95,sensitive,0.6,TRUE,
1abfeedb-9ff0-5a76-865f-f72bc057edad,토코페롤,토코페롤,Tocopherol,Tocopherol,antioxidant|skin conditioning|fragrance,0.95,sensitive,0.6,TRUE,
1a4bfb83-a85d-5fc1-a330-baea2d1fb224,판테놀,판테놀,Panthenol,Panthenol,skin conditioning|hair conditioning|antistatic|moisturizing|soothing|barrier repair|skin strengthening,0.95,sensitive,0.7,TRUE,
c8d5995d-6c0c-589d-aea0-bf177b5b4735,페녹시에탄올,페녹시에탄올,Phenoxyethanol,Phenoxyethanol,antimicrobial|preservative,0.95,sensitive,0.7,TRUE,
5f7a54ce-7026-5157-9653-34c047776612,프로판다이올,프로판다이올,Propanediol,Propanediol,solvent|viscosity controlling,0.95,sensitive,0.6,TRUE,
cb24ad7a-9842-5e5e-8597-92ef137f9c55,프로폴리스추출물,프로폴리스추출물,Propolis Extract,Propolis Extract,soothing|anti-inflammatory|antioxidant|skin strengthening,0.95,sensitive,0.7,TRUE,
cbaeb98e-c36e-51c9-b5c3-a9fec9793860,동백나무씨오일,동백나무씨오일,Camellia Seed Oil,Camellia Japonica Seed Oil,moisturizing|emollient|skin smoothing|barrier repair,0.95,,0.7,TRUE,
e06109c8-edc6-57b5-a423-d05c56d3a748,다이메티콘,다이메티콘,Dimethicone,Dimethicone,skin smoothing|skin protecting|emollient,0.95,sensitive,0.7,TRUE,
a57632a1-7de7-5090-a522-cb100df020e7,하이드로제네이티드폴리(C6-14올레핀),하이드로제네이티드폴리(C6-14올레핀),Hydrogenated Poly(C6-14 Olefin),Hydrogenated Poly(C6-14 Olefin),skin conditioning|emollient|viscosity controlling,0.95,,0.6,TRUE,
a7c89349-29d4-5688-be92-bdd78bc6eb6e,락틱애씨드,락틱애씨드,Lactic Acid,Lactic Acid,buffering|moisturizing|skin conditioning|exfoliation,0.95,sensitive,0.8,TRUE,
62c7bfb5-2a83-58c9-86ff-5b9c9f43b89b,레스베라트롤,레스베라트롤,Resveratrol,Resveratrol,antioxidant|skin protecting,0.95,sensitive,0.6,TRUE,
3c044581-9edc-5bb0-a7fe-7eb12bd5bdff,레티놀,레티놀,Retinol,Retinol,skin conditioning|anti-aging|anti-wrinkle|cell turnover|skin smoothing,0.95,sensitive,0.8,TRUE,
8f978687-5929-5a7b-a770-f05ff60cb1d1,알파-알부틴,알파-알부틴,Alpha-Arbutin,Alpha-Arbutin,brightening|dark spot reduction|tone-evening|antioxidant,0.95,sensitive,0.7,TRUE,
25776ce2-db4a-545d-8ec8-a5c0fe513d5f,트라넥사믹애씨드,트라넥사믹애씨드,Tranexamic Acid,Tranexamic Acid,astringent|skin conditioning|brightening|tone-evening,0.95,sensitive,0.7,TRUE,
213a9da9-8b0b-5040-b382-b084f9a9939b,달팽이점액여과물,달팽이점액여과물,Snail Secretion Filtrate,Snail Secretion Filtrate,moisturizing|healing|soothing|skin smoothing,0.95,sensitive,0.7,TRUE,
a47e65b7-647b-5f29-ae8d-a0682a762858,세라마이드엔피,세라마이드엔피,Ceramide NP,Ceramide NP,barrier repair|barrier strengthening|skin strengthening|moisturizing,0.95,,0.6,TRUE,
c07f20b8-900a-53da-9d24-2022145898d3,바쿠치올,바쿠치올,Bakuchiol,Bakuchiol,antioxidant|anti-aging|skin smoothing|soothing,0.95,sensitive,0.7,TRUE,
ebca75d9-ad11-5e38-aa40-1e9b34be58e7,레틴알,레틴알,Retinal,Retinal,anti-aging|anti-wrinkle|wrinkle reduction|cell turnover|skin smoothing,0.95,sensitive,0.8,TRUE,
765174ee-41ad-5a37-bb06-2e13d3d7eaaf,벌독,벌독,Bee Venom,Bee Venom,skin strengthening|astringent|skin protecting|soothing,0.9,sensitive,0.8,TRUE,
95a00f85-76be-58cf-a981-a1eef7a10590,쑥추출물,쑥추출물,Mugwort Extract,Artemisia Princeps Extract,soothing|anti-inflammatory|antioxidant|skin strengthening,0.95,sensitive,0.7,TRUE,
09a0f443-28ad-5f45-8881-389c7585ca07,에칠헥실메톡시신나메이트,에칠헥실메톡시신나메이트,Ethylhexyl Methoxycinnamate,Ethylhexyl Methoxycinnamate,UV-protection|UV absorber|light stabilizer,0.95,sensitive,0.6,TRUE,
ae763653-6de8-56a5-9e69-9f371bc8afef,카프릴릭/카프릭트라이글리세라이드,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,Caprylic/Capric Triglyceride,emollient|skin-conditioning|fragrance,0.95,,0.7,TRUE,
89820b42-5e1b-5293-8b98-03cd2ca6fcaa,세테아릴알코올,세테아릴알코올,Cetearyl Alcohol,Cetearyl Alcohol,emulsion stabilizer|emollient|surfactant|viscosity controlling,0.95,sensitive,0.7,TRUE,
c5a7d17f-39e3-5a99-b1a5-efeae82b75b0,스테아릭애씨드,스테아릭애씨드,Stearic Acid,Stearic Acid,cleansing|emulsion stabilizing|fragrance|emulsifying,0.95,sensitive,0.7,TRUE,
eb444edc-233f-5e1a-8430-e23d2ad5dc2f,세틸알코올,세틸알코올,Cetyl Alcohol,Cetyl Alcohol,emollient|emulsifying|viscosity controlling|foam boosting,0.95,sensitive,0.7,TRUE,
4d79093f-74bb-5f56-a7a8-cb24e3a7c770,글리세릴스테아레이트,글리세릴스테아레이트,Glyceryl Stearate,Glyceryl Stearate,emollient|skin smoothing|moisturizing|emulsifying,0.95,sensitive,0.6,TRUE,
46f90f93-526b-5454-b49b-fcc3594f4efd,아이소프로필미리스테이트,아이소프로필미리스테이트,Isopropyl Myristate,Isopropyl Myristate,skin smoothing|emollient|fragrance,0.9,oily|sensitive,0.75,TRUE,
328bc534-631b-52af-828c-bc56fe95b406,사이클로메티콘,사이클로메티콘,Cyclomethicone,Cyclomethicone,hair conditioning|emollient|skin smoothing|solvent,0.95,sensitive,0.7,TRUE,
99114d5e-3944-5ddc-966e-fce0e6ab66e8,사이클로펜타실록세인,사이클로펜타실록세인,Cyclopentasiloxane,Cyclopentasiloxane,skin smoothing|hair conditioning|emollient|solvent,0.95,sensitive,0.6,TRUE,
3b0dad04-39f7-5b33-a538-0a0ed7a5f914,아스코빌테트라이소팔미테이트,아스코빌테트라이소팔미테이트,Ascorbyl Tetraisopalmitate,Ascorbyl Tetraisopalmitate,antioxidant|emollient|skin conditioning,0.95,,0.6,TRUE,
cbbc9c8a-996a-55b9-ab42-c58ae34c82fc,유비퀴논,유비퀴논,Ubiquinone,Ubiquinone,antioxidant|skin conditioning|cell energy,0.95,sensitive,0.6,TRUE,
9761ad51-d74e-5796-a7d5-5c26aba03b82,유칼립투스잎오일,유칼립투스잎오일,Eucalyptus Leaf Oil,Eucalyptus Globulus Leaf Oil,perfuming|skin conditioning|soothing|anti-inflammatory,0.95,sensitive,0.7,TRUE,
5dda9b38-2fd2-5301-80c4-878fd7e6c579,팔미토일트라이펩타이드-1,팔미토일트라이펩타이드-1,Palmitoyl Tripeptide-1,Palmitoyl Tripeptide-1,skin conditioning|anti-aging|collagen-boosting|skin strengthening,0.95,sensitive,0.6,TRUE,
b5ba026c-0b30-559d-80f1-a0be904e0868,아세틸헥사펩타이드-8,아세틸헥사펩타이드-8,Acetyl Hexapeptide-8,Acetyl Hexapeptide-8,moisturizing|hydration|moisture retention|anti-wrinkle|skin smoothing,0.95,sensitive,0.6,TRUE,
b935b5b4-e992-5d54-a929-552fdab68ff3,카퍼트라이펩타이드-1,카퍼트라이펩타이드-1,Copper Tripeptide-1,Copper Tripeptide-1,skin conditioning|skin strengthening|anti-aging|repair,0.95,sensitive,0.7,TRUE,
b8cd8133-8723-5f3b-9b6a-4c79420e4f1f,에스에이치-올리고펩타이드-1,에스에이치-올리고펩타이드-1,sh-Oligopeptide-1,sh-Oligopeptide-1,skin conditioning|anti-aging|skin strengthening|repair,0.95,sensitive,0.7,TRUE,
292918bc-65d4-5270-b2e6-78250c76dd55,갈락토미세스발효여과물,갈락토미세스발효여과물,Galactomyces Ferment Filtrate,Galactomyces Ferment Filtrate,moisturizing|hydration|moisture retention|skin smoothing,0.95,sensitive,0.7,TRUE,
b0b71c63-018a-5187-b515-b8ca3d1af808,효모발효여과물,효모발효여과물,Yeast Ferment Filtrate,Saccharomyces Ferment Filtrate,moisturizing|hydration|skin smoothing|cell turnover,0.95,sensitive,0.7,TRUE,
f6e78d05-5d7d-5bcb-8685-83e15dab0c8d,비피다발효용해물,비피다발효용해물,Bifida Ferment Lysate,Bifida Ferment Lysate,skin strengthening|barrier repair|moisturizing|soothing,0.95,sensitive,0.7,TRUE,
274fc4df-a87f-5a8b-83b6-6ea6f1d4507f,세라마이드에이피,세라마이드에이피,Ceramide AP,Ceramide AP,hair conditioning|skin conditioning|barrier repair|moisturizing,0.95,sensitive,0.6,TRUE,
a01f2161-c347-552b-b7fa-a7cfe78ba897,세라마이드이오피,세라마이드이오피,Ceramide EOP,Ceramide EOP,skin conditioning|hair conditioning|barrier repair|moisturizing,0.95,sensitive,0.7,TRUE,
e3ba2d5b-507e-5b7e-a6d6-7d32addb9c06,세라마이드엔에스,세라마이드엔에스,Ceramide NS,Ceramide NS,hair conditioning|skin conditioning|barrier repair|moisturizing,0.95,sensitive,0.7,TRUE,
9703f84e-b9b6-5646-9e3c-31c871192d39,피토스핑고신,피토스핑고신,Phytosphingosine,Phytosphingosine,skin conditioning|hair conditioning|barrier repair|soothing,0.95,sensitive,0.7,TRUE,
e8876454-13b1-5b6b-95b1-2d4c972e2f02,콜레스테롤,콜레스테롤,Cholesterol,Cholesterol,emollient|emulsifying|skin conditioning|viscosity controlling,0.95,,0.6,TRUE,
060078cc-546a-5997-ac7b-b9b768b13ae3,소듐하이알루로네이트크로스폴리머,소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,Sodium Hyaluronate Crosspolymer,moisturizing|hydration|moisture retention|skin conditioning|plumping,0.95,sensitive,0.7,TRUE,
7227fa95-dcaf-5c4e-9a51-69cc3cffd9e4,카보머,카보머,Carbomer,Carbomer,emulsion stabilizing|gel forming|viscosity controlling,0.95,sensitive,0.6,TRUE,
e5a102a9-53fc-5f6e-80d2-92e212be0fe8,트라이에탄올아민,트라이에탄올아민,Triethanolamine,Triethanolamine,buffering|fragrance|cleansing|emulsifying,0.95,sensitive,0.7,TRUE,
9526e69b-a959-5499-9a14-1a9856d54481,다이소듐이디티에이,다이소듐이디티에이,Disodium EDTA,Disodium EDTA,chelating|viscosity controlling,0.95,sensitive,0.6,TRUE,
e0d03fb7-b4de-56e5-9b78-11d9b59f2139,클로페네신,클로페네신,Chlorphenesin,Chlorphenesin,antimicrobial|preservative,0.95,sensitive,0.7,TRUE,
5ca872f9-b3f1-5ca1-982e-181e2afe6b3d,에틸헥실글리세린,에틸헥실글리세린,Ethylhexylglycerin,Ethylhexylglycerin,deodorant|skin conditioning|moisturizing|skin smoothing,0.95,sensitive,0.7,TRUE,
b6049c52-806f-5f10-b7b0-ac5931c16a8b,뽕나무뿌리추출물,뽕나무뿌리추출물,Morus Alba (White Mulberry) Root Extract,Morus Alba Root Extract,brightening|dark spot reduction|tone-evening|skin conditioning,0.95,sensitive,0.6,TRUE,
f1cbd480-2caa-57a3-9103-b27cb6541930,하이알루로닉애씨드,하이알루로닉애씨드,Hyaluronic Acid,Hyaluronic Acid,moisturizing|hydration|moisture retention|skin conditioning,0.95,sensitive,0.6,TRUE,
6d5e6f7e-bb59-5d0c-b0e9-e17fe4dfd985,소듐아세틸레이티드하이알루로네이트,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,Sodium Acetylated Hyaluronate,moisturizing|hydration|moisture retention|plumping|skin smoothing,0.95,,0.7,TRUE,
7edd69cb-65b9-5d1f-84a6-3d3808822b0c,피리독신,피리독신,Pyridoxine,Pyridoxine,skin conditioning|hair conditioning|antistatic,0.8,sensitive,0.6,TRUE,
69fac187-6a78-50d1-a20f-7ca540cd27ef,폴릭애씨드,폴릭애씨드,Folic Acid,Folic Acid,skin conditioning|moisturizing|skin strengthening,0.95,,0.7,TRUE,
7a3d2b92-a0de-5663-8f56-219b943c1850,바이오틴,바이오틴,Biotin,Biotin,hair conditioning|skin conditioning|oil-control,0.95,,0.7,TRUE,
77076aae-1489-518a-b96c-f650a697a9cc,병풀잎수,병풀잎수,Centella Asiatica Leaf Water,Centella Asiatica Leaf Water,soothing|anti-inflammatory|skin strengthening|barrier repair,0.95,,0.7,TRUE,
0e255234-b831-5f40-8b96-166e0e38374e,약모밀추출물,약모밀추출물,Houttuynia Cordata Extract,Houttuynia Cordata Extract,soothing|anti-inflammatory|skin conditioning|antioxidant,0.95,sensitive,0.7,TRUE,
7ed62ac9-06ad-5465-87d6-16233e94993a,개똥쑥추출물,개똥쑥추출물,Mugwort Extract,Artemisia Annua Extract,fragrance|soothing|anti-inflammatory|antioxidant,0.95,sensitive,0.7,TRUE,
dd134446-3d5c-5265-a623-825d7de0a6b7,트레할로오스,트레할로오스,Trehalose,Trehalose,moisturizing|hydration|moisture retention|skin smoothing,0.95,,0.7,TRUE,
b649cf62-b95f-5ecb-a4f4-b03d460c213b,소듐피씨에이,소듐피씨에이,Sodium PCA,Sodium PCA,moisturizing|hydration|moisture retention|skin conditioning,0.95,,0.7,TRUE,
767c6599-be91-523b-82ae-a190393388e5,우레아,우레아,Urea,Urea,moisturizing|exfoliation|buffering|antistatic,0.95,sensitive,0.7,TRUE,
30999329-a140-5ffb-9c09-fe52c9202ab8,솔비톨,솔비톨,Sorbitol,Sorbitol,moisturizing|hydration|fragrance|skin conditioning,0.95,,0.7,TRUE,
2a05c904-2159-5626-b289-6fd598222f65,알지닌,알지닌,Arginine,Arginine,skin conditioning|hair conditioning|antistatic,0.95,sensitive,0.6,TRUE,
74e8f131-6ab0-5b56-b3c1-404eeca377c4,알라닌,알라닌,Alanine,Alanine,skin conditioning|hair conditioning|antistatic|fragrance,0.95,sensitive,0.6,TRUE,
a417b0ce-fc1d-5d0f-83a3-aaa8bbb636ab,세린,세린,Serin,Serine,skin conditioning|hair conditioning|antistatic|fragrance,0.95,sensitive,0.6,TRUE,
0fd678ac-2232-59e6-898a-13d778e9b046,프롤린,프롤린,Proline,Proline,skin conditioning|hair conditioning|moisturizing|hydration,0.95,sensitive,0.6,TRUE,
c8a6c968-3492-5bfd-8519-2ce5aa9e1a43,세라마이드엔지,세라마이드엔지,Ceramide NG,Ceramide NG,skin strengthening|barrier repair|moisturizing|hydration,0.95,sensitive,0.7,TRUE,
3a6d7298-204c-5b86-99dd-0da8e326ce50,레시틴,레시틴,Lecithin,Lecithin,emollient|skin conditioning|emulsifying,0.95,sensitive,0.6,TRUE,
41e58432-e67e-52e6-97b4-2f52abd130be,리놀레익애씨드,리놀레익애씨드,Linoleic Acid,Linoleic Acid,skin conditioning|emollient|cleansing|hair conditioning,0.95,sensitive,0.6,TRUE,
975f3c83-b4d5-5a6b-acf0-d98327b49bce,리놀레닉애씨드,리놀레닉애씨드,Linolenic Acid,Linolenic Acid,skin conditioning|emollient|cleansing,0.95,sensitive,0.6,TRUE,
886cb585-85fa-5706-88f7-108bfd4eb013,호호바에스터,호호바에스터,Jojoba Ester,Jojoba Esters,moisturizing|skin conditioning|emollient|soothing,0.95,,0.6,TRUE,
b6f5915b-3903-54d3-842a-3207c57da0a4,마카다미아씨오일,마카다미아씨오일,Macadamia Seed Oil,Macadamia Ternifolia Seed Oil,moisturizing|skin smoothing|barrier repair|emollient,0.95,sensitive,0.6,TRUE,
9cdd13ac-33f7-579a-8ebb-f8493727d48a,카올린,카올린,Kaolin,Kaolin,exfoliation|oil-control|pore cleansing|opacifying,0.95,dry|sensitive,0.75,TRUE,
6a8b133a-b3c3-5a35-bad5-470174d0c261,징크피씨에이,징크피씨에이,Zinc PCA,Zinc PCA,moisturizing|hydration|oil-control|skin conditioning,0.95,sensitive,0.7,TRUE,
42d9a8f4-40c4-590c-8adf-f1e348b1e004,살리실로일피토스핑고신,살리실로일피토스핑고신,Salicyloyl Phytosphingosine,Salicyloyl Phytosphingosine,skin conditioning|moisturizing|barrier strengthening,0.9,sensitive,0.6,TRUE,
c627fb8d-6e3f-5873-b318-531e9cf276e2,아시아티코사이드,아시아티코사이드,Asiaticoside,Asiaticoside,antioxidant|skin conditioning|soothing|anti-inflammatory|healing,0.95,sensitive,0.7,TRUE,
51a9d3be-a73e-5488-8499-abd20bcc7304,아시아틱애씨드,아시아틱애씨드,Asiatic Acid,Asiatic Acid,anti-inflammatory|soothing|skin strengthening|antioxidant,0.95,sensitive,0.7,TRUE,
12833746-e89e-57ce-81bf-e2271f47b5a3,마데카식애씨드,마데카식애씨드,Madecassic Acid,Madecassic Acid,soothing|anti-inflammatory|healing|skin strengthening|repair|barrier repair,0.95,sensitive,0.7,TRUE,
59880ddf-47e0-5f1a-93d1-8d43cb9eeaf8,에피갈로카테킨갈레이트,에피갈로카테킨갈레이트,Epigallocatechin Gallate,Epigallocatechin Gallate,antioxidant|anti-aging|skin strengthening,0.95,sensitive,0.6,TRUE,
42b1fc0a-b4b6-55ee-bf11-4a32817fc86b,카페인,카페인,Caffeine,Caffeine,perfuming|skin conditioning|cell energy|antioxidant,0.9,sensitive,0.7,TRUE,
7e4414c6-a7be-5abc-bb2c-e620ce197e03,멘톨,멘톨,Menthol,Menthol,fragrance|refreshing|soothing,0.95,sensitive,0.7,TRUE,